,Matches,Season,Innings,Hundreds,TotalRuns,NotOuts,BallsFaced,DuckedOut,FiftyRuns,BattingAvg,HighestScore,StrikeRate
0,32.0,2006/07,23.0,2.0,670.0,7.0,833.0,1.0,1.0,41.87,109.0,80.43
1,31.0,2002/03,31.0,5.0,1134.0,4.0,1505.0,2.0,4.0,42.0,124.0,75.34
2,31.0,2002/03,30.0,2.0,912.0,6.0,1246.0,1.0,3.0,38.0,103.0,73.19
3,31.0,2005/06,30.0,2.0,1254.0,1.0,1604.0,1.0,10.0,43.24,138.0,78.17
4,30.0,1996/97,27.0,0.0,554.0,7.0,730.0,1.0,2.0,27.7,61.0,75.89
5,30.0,1996/97,21.0,0.0,122.0,6.0,295.0,2.0,0.0,8.13,30.0,41.35
6,30.0,2002/03,25.0,1.0,854.0,7.0,1284.0,0.0,5.0,47.44,109.0,66.51
7,30.0,2002/03,30.0,4.0,1101.0,3.0,1287.0,2.0,4.0,40.77,122.0,85.54
8,30.0,2002/03,25.0,1.0,447.0,4.0,661.0,3.0,1.0,21.28,111.0,67.62
9,30.0,2002/03,30.0,4.0,1098.0,3.0,1142.0,1.0,4.0,40.66,126.0,96.14
10,30.0,2002/03,25.0,0.0,611.0,3.0,823.0,2.0,6.0,27.77,68.0,74.24
11,30.0,2006/07,25.0,0.0,936.0,6.0,1182.0,1.0,8.0,49.26,93.0,79.18
12,30.0,2006/07,30.0,3.0,1005.0,2.0,1092.0,4.0,4.0,35.89,133.0,92.03
13,30.0,2006/07,25.0,0.0,516.0,5.0,528.0,1.0,2.0,25.8,86.0,97.72
14,29.0,1995/96,28.0,2.0,940.0,2.0,1038.0,1.0,4.0,36.15,145.0,90.55
15,29.0,1995/96,28.0,1.0,864.0,0.0,858.0,0.0,5.0,30.85,134.0,100.69
16,29.0,1995/96,27.0,0.0,481.0,0.0,461.0,6.0,3.0,17.81,77.0,104.33
17,29.0,1995/96,26.0,1.0,647.0,8.0,1053.0,4.0,3.0,35.94,100.0,61.44
18,29.0,1996/97,28.0,1.0,990.0,3.0,1311.0,1.0,7.0,39.6,117.0,75.51
19,29.0,2000/01,27.0,1.0,842.0,5.0,978.0,1.0,6.0,38.27,104.0,86.09
20,29.0,2006/07,9.0,0.0,60.0,4.0,71.0,2.0,0.0,12.0,21.0,84.5
21,29.0,2006/07,27.0,0.0,744.0,5.0,915.0,1.0,4.0,33.81,87.0,81.31
22,29.0,2006/07,8.0,0.0,11.0,6.0,23.0,1.0,0.0,5.5,5.0,47.82
23,28.0,1995/96,27.0,0.0,871.0,0.0,1337.0,1.0,6.0,32.25,87.0,65.14
24,28.0,1996/97,25.0,1.0,526.0,0.0,440.0,2.0,3.0,21.04,102.0,119.54
25,28.0,2000/01,24.0,0.0,478.0,7.0,710.0,1.0,2.0,28.11,56.0,67.32
26,28.0,2002/03,23.0,0.0,485.0,6.0,780.0,2.0,3.0,28.52,60.0,62.17
27,28.0,2002/03,26.0,4.0,913.0,4.0,1123.0,3.0,3.0,41.5,117.0,81.3
28,28.0,2002/03,22.0,0.0,195.0,7.0,327.0,2.0,0.0,13.0,28.0,59.63
29,28.0,2005/06,27.0,0.0,730.0,4.0,854.0,1.0,4.0,31.73,82.0,85.48
30,28.0,2006/07,26.0,3.0,1185.0,3.0,1330.0,1.0,10.0,51.52,113.0,89.09
31,28.0,2006/07,19.0,0.0,241.0,5.0,309.0,1.0,1.0,17.21,79.0,77.99
32,27.0,1992/93,20.0,0.0,227.0,5.0,336.0,2.0,0.0,15.13,39.0,67.55
33,27.0,1992/93,16.0,0.0,145.0,6.0,180.0,3.0,0.0,14.5,37.0,80.55
34,27.0,1992/93,24.0,0.0,314.0,3.0,383.0,4.0,0.0,14.95,39.0,81.98
35,27.0,1995/96,18.0,0.0,233.0,7.0,376.0,0.0,1.0,21.18,51.0,61.96
36,27.0,1995/96,23.0,1.0,721.0,4.0,1197.0,2.0,6.0,37.94,101.0,60.23
37,27.0,1996/97,23.0,0.0,792.0,8.0,985.0,1.0,7.0,52.8,87.0,80.4
38,27.0,2000/01,27.0,1.0,997.0,2.0,1229.0,1.0,8.0,39.88,120.0,81.12
39,27.0,2000/01,23.0,0.0,516.0,8.0,590.0,0.0,2.0,34.4,79.0,87.45
40,27.0,2001/02,19.0,0.0,437.0,7.0,455.0,1.0,4.0,36.41,58.0,96.04
41,27.0,2001/02,17.0,0.0,194.0,6.0,199.0,3.0,1.0,17.63,69.0,97.48
42,27.0,2001/02,23.0,1.0,873.0,8.0,932.0,2.0,8.0,58.2,107.0,93.66
43,27.0,2002/03,24.0,0.0,477.0,3.0,691.0,3.0,3.0,22.71,77.0,69.03
44,27.0,2005/06,26.0,0.0,764.0,1.0,937.0,1.0,8.0,30.56,86.0,81.53
45,27.0,2006/07,26.0,2.0,853.0,2.0,1126.0,3.0,6.0,35.54,106.0,75.75
46,26.0,1991/92,25.0,0.0,354.0,7.0,446.0,1.0,0.0,19.66,42.0,79.37
47,26.0,1991/92,16.0,0.0,110.0,5.0,179.0,2.0,0.0,10.0,19.0,61.45
48,26.0,1991/92,25.0,2.0,677.0,3.0,1117.0,0.0,3.0,30.77,122.0,60.6
49,26.0,1991/92,25.0,0.0,885.0,4.0,1193.0,1.0,9.0,42.14,84.0,74.18
50,26.0,1992/93,26.0,1.0,739.0,1.0,1262.0,3.0,5.0,29.56,109.0,58.55
51,26.0,1996/97,25.0,2.0,1142.0,4.0,1568.0,2.0,9.0,54.38,124.0,72.83
52,26.0,1996/97,3.0,0.0,6.0,0.0,10.0,2.0,0.0,2.0,6.0,60.0
53,26.0,1996/97,24.0,1.0,753.0,7.0,885.0,1.0,5.0,44.29,121.0,85.08
54,26.0,1996/97,15.0,0.0,123.0,7.0,172.0,1.0,0.0,15.37,43.0,71.51
55,26.0,1996/97,23.0,0.0,286.0,3.0,327.0,2.0,2.0,14.3,66.0,87.46
56,26.0,1999/00,26.0,1.0,886.0,2.0,1376.0,0.0,5.0,36.91,153.0,64.38
57,26.0,1999/00,22.0,0.0,482.0,4.0,700.0,0.0,2.0,26.77,51.0,68.85
58,26.0,2000/01,22.0,0.0,664.0,5.0,863.0,2.0,6.0,39.05,78.0,76.94
59,26.0,2000/01,26.0,4.0,1132.0,2.0,1483.0,1.0,4.0,47.16,124.0,76.33
60,26.0,2000/01,26.0,1.0,893.0,2.0,1352.0,2.0,5.0,37.2,119.0,66.05
61,26.0,2000/01,24.0,3.0,927.0,3.0,1160.0,0.0,3.0,44.14,128.0,79.91
62,26.0,2000/01,10.0,0.0,39.0,4.0,53.0,2.0,0.0,6.5,13.0,73.58
63,26.0,2000/01,26.0,0.0,446.0,2.0,712.0,1.0,0.0,18.58,36.0,62.64
64,26.0,2001/02,26.0,1.0,853.0,0.0,1013.0,3.0,3.0,32.8,125.0,84.2
65,26.0,2005/06,13.0,0.0,69.0,3.0,91.0,2.0,0.0,6.9,27.0,75.82
66,26.0,2006/07,18.0,1.0,609.0,2.0,532.0,2.0,4.0,38.06,147.0,114.47
67,26.0,2006/07,26.0,3.0,1058.0,5.0,1515.0,1.0,8.0,50.38,149.0,69.83
68,26.0,2006/07,25.0,0.0,730.0,2.0,1005.0,1.0,5.0,31.73,83.0,72.63
69,26.0,2006/07,26.0,1.0,805.0,1.0,843.0,1.0,5.0,32.2,149.0,95.49
70,26.0,2006/07,25.0,5.0,1368.0,3.0,1560.0,1.0,4.0,62.18,181.0,87.69
71,26.0,2006/07,25.0,3.0,901.0,3.0,878.0,1.0,4.0,40.95,115.0,102.61
72,26.0,2006/07,25.0,1.0,816.0,4.0,1023.0,2.0,4.0,38.85,115.0,79.76
73,26.0,2006/07,22.0,2.0,1010.0,6.0,1286.0,1.0,6.0,63.12,128.0,78.53
74,26.0,2006/07,24.0,1.0,609.0,6.0,798.0,1.0,4.0,33.83,100.0,76.31
75,26.0,2006/07,24.0,1.0,852.0,2.0,1098.0,3.0,7.0,38.72,110.0,77.59
76,26.0,2009/10,26.0,2.0,1139.0,2.0,1403.0,2.0,10.0,47.45,111.0,81.18
77,26.0,2009/10,24.0,1.0,861.0,3.0,1103.0,1.0,8.0,41.0,105.0,78.05
78,26.0,2014/15,25.0,5.0,1324.0,1.0,1485.0,2.0,5.0,55.16,161.0,89.15
79,26.0,2014/15,20.0,1.0,646.0,3.0,530.0,3.0,2.0,38.0,170.0,121.88
80,25.0,1991/92,16.0,0.0,118.0,4.0,154.0,2.0,0.0,9.83,24.0,76.62
81,25.0,1991/92,24.0,0.0,566.0,3.0,757.0,3.0,4.0,26.95,93.0,74.76
82,25.0,1991/92,25.0,0.0,850.0,2.0,1207.0,2.0,8.0,36.95,88.0,70.42
83,25.0,1992/93,24.0,1.0,683.0,3.0,1206.0,2.0,3.0,32.52,107.0,56.63
